Dataset 1,70-8,70-8-8.txt,1083,2601,95.739,73,73,182070,75933,520170,1
Dataset 1,80-8,80-8-1.txt,1355,3268,135.532,86,86,261440,108557,750720,1
Dataset 1,70-8,70-8-2.txt,1042,2520,68.5218,74,74,176400,73062,505960,1
Dataset 1,80-8,80-8-6.txt,1243,3090,245.208,82,82,247200,99581,716960,1
Dataset 1,70-8,70-8-9.txt,1170,2810,83.9548,75,75,196700,82033,562940,1
Dataset 1,80-8,80-8-7.txt,1214,2978,112.188,85,85,238240,97262,685680,1
Dataset 1,80-8,80-8-10.txt,1196,2966,160.947,87,87,237280,95822,684960,1
Dataset 1,90-8,90-8-1.txt,1437,3443,440.062,92,92,309870,129494,887400,1
Dataset 1,80-8,80-8-2.txt,1203,2918,217.307,84,84,233440,96381,670160,1
Dataset 1,80-8,80-8-8.txt,1321,3298,192.677,87,87,263840,105831,765440,1
Dataset 1,90-8,90-8-4.txt,1434,3484,572.541,102,102,313560,129226,903780,1
Dataset 1,80-8,80-8-9.txt,1279,3052,312.388,87,87,244160,102467,696400,1
Dataset 1,80-8,80-8-3.txt,1270,3126,166.997,86,86,250080,101747,722800,1
Dataset 1,70-8,70-8-1.txt,993,2421,39.2062,72,72,169470,69626,487550,1
Dataset 1,70-8,70-8-3.txt,1125,2704,92.4239,76,76,189280,78883,543340,1
Dataset 1,70-8,70-8-10.txt,1027,2581,219.453,77,77,180670,72011,525630,1
Dataset 1,70-8,70-8-4.txt,1020,2523,81.9748,73,73,176610,71519,509040,1
Dataset 1,70-8,70-8-5.txt,1153,2846,114.298,78,78,199220,80844,575540,1
Dataset 1,90-8,90-8-10.txt,1352,3379,225.616,92,92,304110,121827,882360,1
Dataset 1,70-8,70-8-6.txt,1080,2735,143.811,71,71,191450,75724,556290,1
Dataset 1,80-8,80-8-4.txt,1317,3329,796.415,89,89,266320,105508,775920,1
Dataset 1,70-8,70-8-7.txt,1106,2627,75.6946,76,76,183890,77544,524440,1
Dataset 1,90-8,90-8-5.txt,1422,3538,959.129,97,97,318420,128140,922860,1
Dataset 1,80-8,80-8-5.txt,1355,3365,574.095,87,87,269200,108558,780000,1
Dataset 1,90-8,90-8-2.txt,1404,3370,835.72,100,100,303300,126521,867780,1
Dataset 1,90-8,90-8-6.txt,1459,3500,154.945,98,98,315000,131481,903060,1
Dataset 1,90-8,90-8-7.txt,1285,3148,126.31,92,92,283320,115795,817200,1
Dataset 1,90-8,90-8-8.txt,1343,3305,171.634,94,94,297450,121025,858240,1
Dataset 1,90-8,90-8-3.txt,1473,3581,776.999,98,98,322290,132738,924300,1
Dataset 1,100-10,100-10-1.txt,2520,7302,1307.69,114,114,730200,252220,2191600,1
Dataset 1,100-10,100-10-6.txt,2610,7435,1325.25,115,115,743500,261224,2220200,1
Dataset 1,90-8,90-8-9.txt,1435,3604,421.643,98,98,324360,129313,944100,1
Dataset 1,100-12,100-12-2.txt,3907,12067,1800.03,122,1.00E+100,1206700,390972,3657300,0
Dataset 1,100-10,100-10-10.txt,2669,7600,1800.01,110,1.00E+100,760000,267130,2270600,0
Dataset 1,90-10,90-10-4.txt,2301,6332,1800.05,97,110,569880,207285,1681740,1
Dataset 1,100-10,100-10-7.txt,2632,7313,1410.1,111,111,731300,263429,2166000,1
Dataset 1,100-12,100-12-8.txt,4277,12806,1800.05,118,1.00E+100,1280600,427993,3840800,0
Dataset 1,100-10,100-10-2.txt,2621,7325,1391.69,111,111,732500,262324,2169900,1
Dataset 1,90-10,90-10-5.txt,2313,6509,821.803,99,99,585810,208368,1741860,1
Dataset 1,100-10,100-10-8.txt,2584,7271,1800.02,114,1.00E+100,727100,258629,2164600,0
Dataset 1,100-12,100-12-3.txt,3903,11644,1800.02,119,1.00E+100,1164400,390569,3494400,0
Dataset 1,100-12,100-12-9.txt,3821,12299,1800.03,122,1.00E+100,1229900,382369,3763400,0
Dataset 1,90-10,90-10-6.txt,2446,6573,742.83,102,102,591570,220346,1736190,1
Dataset 1,100-10,100-10-3.txt,2594,7202,1262.21,110,110,720200,259619,2134700,1
Dataset 1,100-10,100-10-9.txt,2620,7247,1801.06,114,131,724700,262224,2146400,1
Dataset 1,90-10,90-10-7.txt,2369,6458,925.471,99,99,581220,213412,1712430,1
