Dataset 1,80-8,80-8-6.txt,20.7935,82,82,0.100951,82,82,2,690,2,2,0.0478981,0.023949
Dataset 1,70-8,70-8-8.txt,41.7067,73,73,21.7433,73,73,2,783,3,72,21.6597,0.30083
Dataset 1,80-8,80-8-1.txt,62.971,86,86,0.211399,86,86,2,818,2,2,0.137165,0.0685825
Dataset 1,70-8,70-8-2.txt,70.6062,74,74,54.5355,74,74,2,931,4,142,54.3656,0.382856
Dataset 1,90-8,90-8-4.txt,118.928,102,102,0.243717,102,102,2,949,2,2,0.15314,0.07657
Dataset 1,70-8,70-8-9.txt,19.2779,75,75,0.107919,75,75,2,599,2,2,0.0617931,0.0308965
Dataset 1,80-8,80-8-10.txt,66.9196,87,87,0.171963,87,87,2,946,2,2,0.0933318,0.0466659
Dataset 1,80-8,80-8-7.txt,70.6877,85,85,42.184,85,85,2,923,3,82,42.0635,0.51297
Dataset 1,90-8,90-8-1.txt,111.034,92,92,71.2787,92,92,2,1009,3,92,71.1092,0.772926
Dataset 1,80-8,80-8-8.txt,62.7893,87,87,0.260584,87,87,2,876,2,2,0.186255,0.0931275
Dataset 1,80-8,80-8-2.txt,30.0327,84,84,0.148769,84,84,2,744,2,2,0.087708,0.043854
Dataset 1,90-8,90-8-10.txt,101.687,92,92,66.7092,91.3333,92,2,1088,3,92,66.5479,0.723347
Dataset 1,80-8,80-8-3.txt,68.0727,86,86,0.147007,86,86,2,857,2,2,0.0739608,0.0369804
Dataset 1,80-8,80-8-9.txt,77.2369,87,87,48.1135,87,87,2,905,3,82,47.9624,0.584907
Dataset 1,70-8,70-8-1.txt,45.6867,72,72,27.7816,72,72,2,835,3,72,27.6806,0.384453
Dataset 1,80-8,80-8-4.txt,139.803,89,89,75.7206,88.3333,89,2,1008,3,82,75.5679,0.92156
Dataset 1,70-8,70-8-10.txt,74.8658,77,77,35.3663,77,77,2,959,3,72,35.2424,0.489478
Dataset 1,70-8,70-8-3.txt,1800,76,77,0.103378,76,77,3441,717,6882,6881,1123.67,0.1633
Dataset 1,70-8,70-8-4.txt,49.5292,73,73,30.3632,73,73,2,806,3,72,30.2646,0.420341
Dataset 1,70-8,70-8-5.txt,97.488,78,78,47.6095,78,78,2,891,3,72,47.4929,0.659624
Dataset 1,70-8,70-8-6.txt,40.9298,71,71,0.145429,71,71,2,768,2,2,0.091835,0.0459175
Dataset 1,90-8,90-8-5.txt,1821.27,97,98,0.170794,97,99,1722,1217,3446,3623,1045.88,0.288677
Dataset 1,70-8,70-8-7.txt,44.8665,76,76,26.989,76,76,2,793,3,72,26.8917,0.373496
Dataset 1,90-8,90-8-2.txt,195.218,100,100,95.2486,100,100,2,1252,3,92,95.0505,1.03316
Dataset 1,80-8,80-8-5.txt,266.851,87,87,68.952,87,88,20,1079,40,198,184.389,0.93126
Dataset 1,100-10,100-10-1.txt,1301.87,114,114,0.38401,114,116,50,1917,99,198,414.341,2.09263
Dataset 1,100-10,100-10-6.txt,873.564,115,115,451.207,115,115,2,1679,3,102,450.776,4.41937
Dataset 1,90-8,90-8-6.txt,100.542,98,98,0.206901,98,98,2,922,2,2,0.114686,0.057343
Dataset 1,90-8,90-8-7.txt,13.1757,92,92,0.143555,92,92,2,632,2,2,0.0930071,0.0465035
Dataset 1,90-8,90-8-3.txt,101.6,98,98,0.151929,98,98,2,938,2,2,0.0600181,0.030009
Dataset 1,90-8,90-8-8.txt,106.134,94,94,69.8777,94,94,2,1038,3,92,69.7486,0.758137
Dataset 1,90-8,90-8-9.txt,109.82,98,98,0.287793,98,98,2,1046,2,2,0.192564,0.096282
Dataset 1,100-12,100-12-2.txt,2368.82,0,333,940.974,0,333,1,2203,3,101,940.635,9.31322
Dataset 1,90-10,90-10-4.txt,260.293,97,97,0.257119,97,97,2,1291,2,2,0.121149,0.0605745
Dataset 1,100-12,100-12-8.txt,1888.76,0,335,0,0,335,1,1892,0,0,0,#NAME?
Dataset 1,100-10,100-10-7.txt,767.961,111,111,339.477,111,111,2,1624,3,102,339.092,3.32443
Dataset 1,100-10,100-10-10.txt,1800,110,112,0.357079,110,112,1485,1644,2970,2969,307.793,0.103669
Dataset 1,100-10,100-10-2.txt,918.669,111,111,435.666,111,111,2,1656,3,102,435.344,4.26808
Dataset 1,100-10,100-10-8.txt,912.773,114,114,420.951,114,114,2,1655,3,102,420.674,4.12425
Dataset 1,90-10,90-10-5.txt,1520.22,99,99,281.908,99,100,12,2139,26,382,1243.34,3.25482
Dataset 1,100-12,100-12-3.txt,2188.32,0,324,1317.16,0,324,1,2146,3,200,1316.74,6.5837
Dataset 1,100-12,100-12-9.txt,2287.04,0,343,903.287,0,343,1,2185,2,100,903.051,9.03051
Dataset 1,90-10,90-10-6.txt,588.684,102,102,249.131,102,102,2,1453,3,92,248.895,2.70538
Dataset 1,100-10,100-10-3.txt,805.41,110,110,0.290528,110,116,29,1657,57,156,358.771,2.29981
Dataset 1,100-10,100-10-9.txt,770.42,114,114,370.355,114,114,2,1595,3,102,369.984,3.6273
Dataset 1,100-12,100-12-4.txt,1826.16,0,331,0,0,331,1,1921,0,0,0,#NAME?
Dataset 1,90-10,90-10-1.txt,745.785,99,99,329.39,99,99,2,1483,3,92,329.122,3.57742
Dataset 1,90-10,90-10-7.txt,609.203,99,99,0.243869,99,100,21,1454,41,130,269.931,2.07639
Dataset 1,100-10,100-10-4.txt,997.863,110,110,0.387455,110,114,6,1797,11,110,491.623,4.4693
Dataset 1,90-10,90-10-8.txt,291.915,98,98,0.387438,98,98,2,1382,2,2,0.233839,0.11692
Dataset 1,100-12,100-12-1.txt,2444.38,0,336,849.59,0,336,1,2124,2,100,849.551,8.49551
Dataset 1,90-10,90-10-9.txt,583.39,102,102,0.24548,102,103,19,1509,37,126,233.382,1.85224
Dataset 1,90-10,90-10-10.txt,1800.06,104,105,205.875,104,105,2265,1502,4531,4619,410.317,0.0888324
Dataset 1,100-10,100-10-5.txt,812.344,111,111,342.853,111,111,2,1696,3,102,342.603,3.35885
Dataset 1,100-12,100-12-5.txt,2439.79,0,325,1636.95,0,325,1,2233,3,200,1636.56,8.18282
Dataset 1,90-10,90-10-2.txt,758.03,101,101,0.284016,101,102,168,1497,335,424,199.272,0.469982
Dataset 1,100-8,100-8-6.txt,159.58,105,105,106.132,105,105,2,968,3,102,105.99,1.03912
Dataset 1,100-8,100-8-1.txt,288.444,107,107,138.726,107,107,2,1319,3,102,138.489,1.35774
Dataset 1,100-8,100-8-7.txt,324.964,109,109,0.536051,108.25,110,9,1381,17,116,160.713,1.38546
Dataset 1,100-12,100-12-10.txt,2553.82,0,325,1406.98,0,325,1,2094,3,200,1406.77,7.03385
Dataset 1,100-8,100-8-10.txt,131.011,104,104,0.209779,103.25,104,2,1194,2,2,0.107575,0.0537874
Dataset 1,100-8,100-8-8.txt,296.064,107,107,157.663,107,107,2,1295,3,102,157.415,1.54329
Dataset 1,90-10,90-10-3.txt,679.425,101,101,297.566,101,101,2,1498,3,92,297.243,3.2309
Dataset 1,100-12,100-12-6.txt,2054.65,0,339,0,0,339,1,1981,0,0,0,#NAME?
Dataset 1,100-8,100-8-2.txt,165.511,110,110,106.459,110,110,2,1089,3,102,106.229,1.04146
Dataset 1,100-8,100-8-9.txt,345.301,112,112,145.827,111.5,112,2,1319,3,102,145.674,1.42818
Dataset 1,100-8,100-8-3.txt,143.742,109,109,0.720254,109,109,2,1087,2,2,0.615321,0.30766
Dataset 1,100-8,100-8-4.txt,308.484,106,106,131.479,106,106,2,1394,3,102,131.231,1.28658
Dataset 1,90-12,90-12-2.txt,2238.68,0,303,862.142,0,303,1,2053,3,91,861.826,9.47061
